Names,Race,Gender,Sports,Birth Origin,Age,Zip,Education,GPA,Educational Prestige,Years of Experience,Soft Skills,Manager's Assessment Score,Military Tenure,Avg Commute Time,Job Tenure,Cultural Fit,Leadership Capability,HireVue Score,Technical Aptitude,Avg Deals Closed,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record
Garrett Cortez,Caucasian,male,2.0,USA,31.0,94545,5,3.39,0.92,6.5,4.86,15.940000000000001,0.0,37.0,3.5,2.69,1.95,-1.06,-0.75,6.3,Engineering,Ok,Good,1.0,0.0,0.0
Leonard Heltzel,Asian,male,2.0,USA,30.0,94558,5,3.38,0.5,8.0,3.95,13.19,0.0,91.0,0.5,-1.9,2.08,1.4,2.0,9.4,Engineering,Very Good,Good,1.0,0.0,0.0
Caroline Clay,Caucasian,female,1.0,Australia,29.0,94043,4,4.01,0.44,3.0,3.28,10.05,0.0,5.0,5.5,-0.41,2.62,0.1,0.41,7.78,Engineering,None,Good,0.0,1.0,0.0
Martha Guzman,Caucasian,female,2.0,USA,32.0,94538,4,2.9,0.52,7.5,3.73,10.4,0.0,21.0,2.0,-1.94,3.16,3.05,3.01,10.59,Quantitative,None,Good,0.0,0.0,0.0
Alice Woodruff,Caucasian,female,2.0,USA,39.0,94040,4,3.28,0.34,7.0,3.78,11.290000000000001,0.0,3.0,6.5,-0.62,0.56,-3.04,-2.68,3.66,Quantitative,Very Good,Good,0.0,1.0,0.0
Elva Mattlin,Asian,female,1.0,USA,33.0,94609,4,3.08,0.6,8.5,4.69,14.040000000000001,0.0,50.0,3.0,0.14,1.73,-1.08,-1.3,5.46,Engineering,None,Good,1.0,1.0,0.0
Bobby Neely,Other,male,0.0,USA,30.0,94538,3,3.17,0.26,2.0,2.36,8.73,0.0,21.0,1.0,-1.66,2.25,0.9,0.19,7.0,Sciences,None,Bad,0.0,0.0,0.0
Violet Birmingham,Caucasian,female,0.0,USA,31.0,94025,1,2.53,0.38,1.0,2.9,8.610000000000001,0.0,20.0,8.0,2.67,3.76,4.05,4.93,13.27,Humanities,None,Bad,0.0,0.0,0.0
Kyle Stadler,Caucasian,male,0.0,USA,35.0,94085,2,3.15,0.06,6.5,3.22,9.85,1.0,10.0,2.5,-1.3,3.3,3.95,3.08,10.39,Engineering,None,Good,0.0,0.0,0.0
Lynne Dukich,Caucasian,female,0.0,USA,35.0,94027,3,3.28,0.2,8.0,3.34,8.55,0.0,24.0,2.0,-1.41,2.04,-0.2,-0.39,6.53,Sciences,Ok,Bad,0.0,0.0,0.0
Anna Chambers,Caucasian,female,2.0,USA,29.0,94019,4,2.68,0.22,5.0,2.81,9.030000000000001,0.0,46.0,2.0,-0.15,1.89,0.38,0.17,7.1,Engineering,Ok,Bad,0.0,0.0,0.0
Susan Franco,Caucasian,female,1.0,USA,27.0,94025,3,3.26,0.76,3.5,3.49,9.49,0.0,20.0,2.0,-0.88,2.08,-0.83,-0.64,6.49,Sciences,Ok,Good,0.0,0.0,0.0
Jeanne Conaughty,Caucasian,female,2.0,USA,26.0,94544,3,3.42,0.18,3.5,3.22,10.16,0.0,31.0,3.0,-0.74,2.44,2.1,2.22,9.57,Engineering,Very Good,Good,0.0,0.0,0.0
Tatiana Garza,Caucasian,female,1.0,Australia,30.0,94402,4,2.87,0.42,5.5,3.02,9.06,0.5,28.0,0.0,-2.6,2.33,0.01,0.0,7.12,Quantitative,Very Good,Good,0.0,0.0,0.0
Samantha Sciabica,Caucasian,female,2.0,USA,36.0,94040,2,3.52,0.64,6.0,4.22,10.510000000000002,0.0,3.0,6.5,2.38,0.92,-2.84,-2.21,4.54,Engineering,Ok,Good,1.0,0.0,0.0
Edwin Johannsen,Caucasian,male,0.0,USA,33.0,94588,3,2.38,-0.1,5.0,1.17,4.25,0.0,36.0,2.5,-2.03,1.44,-1.15,0.05,7.48,Quantitative,None,Bad,0.0,0.0,1.0
Jacqueline Bray,Asian,female,0.0,China,32.0,94043,1,2.67,0.22,2.0,2.44,6.42,0.0,6.0,6.0,2.5,0.84,-3.04,-3.22,2.99,Engineering,None,Good,0.0,0.0,0.0
Julie Thomas,Hispanic,female,0.0,Mexico,23.0,94572,3,3.07,0.54,2.0,3.2,8.95,0.0,72.0,2.5,-0.44,1.08,-2.97,-3.46,2.7,Engineering,Ok,Good,0.0,0.0,0.0
Lawrence Kruse,Asian,male,1.0,China,24.0,94043,2,2.42,0.4,3.0,2.9,9.9,0.0,6.0,1.0,-1.82,1.18,-0.96,-1.83,4.42,Sciences,Ok,Good,0.0,0.0,0.0
Paul Moore,Caucasian,male,0.0,USA,25.0,94402,1,2.23,0.18,1.5,2.6,9.08,4.0,28.0,1.0,1.01,1.53,-1.31,-0.81,6.2,Quantitative,Ok,Bad,0.0,0.0,0.0
Monique Lile,Asian,female,2.0,Australia,25.0,94588,4,4.0,0.36,3.0,3.78,12.73,0.0,36.0,2.0,-0.82,1.83,-0.21,-0.72,5.87,Engineering,Very Good,Good,1.0,0.0,0.0
Brian Ferreira,Caucasian,male,0.0,USA,28.0,94304,1,3.51,0.3,0.0,2.03,6.27,0.0,19.0,5.5,-2.09,1.76,-0.4,-0.59,6.22,Engineering,None,Good,0.0,1.0,0.0
Ronald Ward,Caucasian,male,1.0,USA,24.0,94564,1,2.83,0.2,0.5,2.05,6.9399999999999995,0.0,62.0,2.0,3.28,2.88,1.42,2.0,9.66,Engineering,None,Good,0.0,1.0,0.0
Clara Baker,Hispanic,female,0.0,USA,29.0,94402,3,3.06,0.44,4.0,3.43,9.33,0.0,28.0,4.0,0.37,1.82,0.32,0.15,7.04,None,Ok,Good,1.0,0.0,0.0
Delisa Sprenkle,Caucasian,female,0.0,USA,27.0,94028,4,2.75,0.48,1.5,2.08,7.1000000000000005,0.0,23.0,5.5,2.68,2.06,-0.89,-0.9,6.11,Engineering,Ok,Bad,0.0,0.0,0.0
Mary Yates,Caucasian,female,0.0,USA,30.0,94586,2,3.27,0.42,6.5,3.25,8.23,0.0,38.0,2.5,2.24,0.89,-2.28,-1.43,5.5,Engineering,Ok,Good,1.0,0.0,0.0
James Furtado,African-American,male,1.0,USA,33.0,94040,4,3.01,0.72,6.5,4.43,13.32,0.0,1.0,6.0,2.29,0.86,-2.51,-1.47,5.53,Engineering,Very Good,Good,1.0,0.0,0.0
John Troke,Asian,male,2.0,USA,27.0,94609,4,3.23,0.56,3.0,3.51,12.56,0.0,50.0,2.0,-0.86,2.94,1.4,1.34,8.66,Engineering,Very Good,Good,0.0,0.0,0.0
Francisco Morton,Hispanic,male,0.0,USA,23.0,95134,3,2.55,0.28,0.0,1.55,5.8500000000000005,0.0,16.0,0.0,-3.44,1.88,0.08,0.45,7.55,Engineering,None,Good,1.0,0.0,0.0
Charles Bower,African-American,male,0.0,USA,29.0,94085,2,3.1,0.28,2.5,2.15,6.29,0.0,10.0,6.0,1.85,2.96,2.93,3.14,10.84,Humanities,Ok,Good,0.0,0.0,0.0
Lewis Gifford,Caucasian,male,0.0,USA,35.0,94301,2,2.72,0.28,4.5,2.43,7.54,0.0,17.0,4.0,-1.76,2.52,-0.45,-0.86,6.11,Quantitative,None,Bad,1.0,0.0,0.0
Michael Wood,Caucasian,male,2.0,USA,35.0,94089,5,3.29,0.74,6.5,4.47,15.879999999999999,0.0,11.0,6.0,0.53,3.38,0.51,0.6,8.14,Sciences,Ok,Good,1.0,1.0,0.0
Eric Martinez,Caucasian,male,0.0,USA,36.0,94933,5,4.19,0.4,9.0,5.01,17.43,0.0,96.0,0.5,1.01,3.75,3.3,2.28,9.67,Engineering,Very Good,Bad,1.0,0.0,0.0
David Santangelo,Caucasian,male,0.0,USA,27.0,94121,2,2.53,0.5,3.0,2.39,6.68,0.0,54.0,2.0,-0.67,0.0,-2.19,-2.4,3.48,Sciences,Ok,Bad,0.0,1.0,0.0
Douglas Richardt,Asian,male,0.0,USA,36.0,94545,3,1.99,0.18,5.0,2.35,8.61,0.0,37.0,3.0,-0.19,2.98,2.06,2.16,9.8,Engineering,Ok,Good,1.0,0.0,0.0
Debbie Ridgeway,Caucasian,female,0.0,USA,25.0,94061,3,3.18,0.28,0.0,1.41,4.4799999999999995,0.0,22.0,2.0,-2.29,1.53,-1.06,-1.3,5.34,Quantitative,None,Good,0.0,0.0,1.0
Enrique Clark,Caucasian,male,2.0,USA,26.0,94618,3,3.14,0.5,4.0,3.74,11.93,0.0,51.0,3.0,1.17,1.75,2.08,0.74,7.08,Engineering,Very Good,Bad,0.0,0.0,0.0
Robert Moore,African-American,male,1.0,USA,34.0,94014,4,2.06,0.32,5.0,2.08,7.07,0.0,43.0,3.0,-0.56,1.83,0.51,1.19,8.58,Engineering,None,Good,0.0,0.0,0.0
Doris Bryant,Caucasian,female,0.0,USA,33.0,94085,3,3.61,0.18,6.0,3.1,8.8,0.0,10.0,3.0,-1.38,2.76,2.14,1.24,8.04,Quantitative,None,Good,0.0,0.0,0.0
Angela Jenny,Caucasian,female,2.0,USA,26.0,94578,4,2.97,0.46,1.0,2.9,10.32,0.0,39.0,4.5,-1.67,2.71,1.11,1.76,9.48,Engineering,None,Bad,0.0,0.0,0.0
Jennifer Flowers,Caucasian,female,1.0,USA,33.0,94539,5,3.96,0.56,8.0,4.49,14.43,0.0,25.0,1.0,-2.02,2.9,0.23,0.18,7.39,Engineering,Ok,Good,1.0,0.0,0.0
Barbara Fowler,Caucasian,female,2.0,USA,33.0,94022,4,2.84,0.28,7.0,3.66,11.71,0.0,13.0,5.0,2.37,0.65,-3.47,-3.1,3.38,Engineering,Very Good,Good,1.0,0.0,0.0
Leslie Dennard,Hispanic,female,0.0,Mexico,34.0,94070,2,2.5,0.36,5.0,2.47,5.84,0.0,27.0,5.5,1.5699999999999998,1.31,-3.27,-2.44,4.51,Quantitative,None,Bad,0.0,0.0,0.0
Ronald Cameron,Caucasian,male,1.0,USA,34.0,94043,1,2.99,0.14,6.0,3.05,8.95,0.0,6.0,4.0,-1.24,0.0,-5.96,-4.47,2.16,Engineering,Very Good,Good,0.0,0.0,0.0
Warren Sykora,African-American,male,0.0,USA,35.0,94707,4,3.76,0.26,8.0,4.41,13.69,2.0,60.0,2.0,-0.97,3.14,2.04,2.67,10.5,Quantitative,Very Good,Good,1.0,0.0,0.0
Mark Godin,Caucasian,male,2.0,Canada,37.0,94105,2,3.41,0.44,5.5,4.12,12.81,4.5,45.0,5.0,2.94,2.81,-0.16,-0.62,6.35,Quantitative,Ok,Bad,0.0,0.0,0.0
Donald Bonson,African-American,male,2.0,USA,37.0,94591,4,3.74,0.36,4.0,3.64,11.959999999999999,2.5,73.0,3.5,0.45999999999999996,3.44,2.17,2.77,10.74,Humanities,Ok,Good,1.0,0.0,1.0
Evan Elliott,Asian,male,0.0,USA,36.0,94085,2,3.74,0.68,3.0,3.96,11.75,0.0,8.0,7.0,3.18,1.68,1.31,1.56,8.76,Sciences,Very Good,Good,0.0,0.0,0.0
Virginia Grise,Caucasian,female,1.0,USA,28.0,94585,2,2.79,0.46,3.5,2.82,7.739999999999999,0.0,98.0,0.0,-2.32,2.36,0.38,-0.62,5.96,Engineering,Ok,Good,0.0,0.0,0.0
William Snead,Other,male,2.0,USA,39.0,95002,4,3.29,0.56,7.5,4.39,13.69,0.0,15.0,8.0,3.97,2.67,0.96,1.08,8.44,Engineering,Ok,Good,1.0,0.0,0.0
John Sears,Asian,male,1.0,USA,34.0,94085,3,2.49,0.56,6.0,3.53,11.49,0.0,8.0,3.0,-0.26,2.62,1.45,1.39,8.68,Engineering,Very Good,Good,1.0,0.0,0.0
Eva Gordon,Caucasian,female,0.0,USA,27.0,94030,3,2.77,0.14,3.0,2.61,8.620000000000001,0.0,34.0,3.0,2.08,3.03,2.33,2.07,9.42,Engineering,Ok,Bad,0.0,0.0,0.0
Ian Corbett,Caucasian,male,0.0,USA,37.0,94043,4,3.1,0.2,6.5,2.75,9.35,1.0,6.0,4.5,-0.33,1.37,-1.76,-1.8,4.81,Sciences,Very Good,Good,0.0,0.0,0.0
Robert White,Hispanic,male,1.0,Australia,30.0,94588,3,3.39,0.66,5.0,4.29,12.709999999999999,0.0,36.0,2.0,-1.06,2.76,1.42,1.2,8.35,Quantitative,Ok,Good,1.0,0.0,0.0
Kerry Babb,Caucasian,male,0.0,USA,24.0,94569,1,3.24,0.32,3.0,2.65,6.58,0.0,68.0,2.0,0.83,2.23,0.22,-0.2,6.69,Engineering,Ok,Bad,1.0,0.0,0.0
Mark Spence,Caucasian,male,1.0,USA,24.0,94591,2,3.54,0.56,3.0,4.34,13.96,0.0,74.0,1.0,0.21,0.89,-3.2,-1.76,5.45,Engineering,Very Good,Good,0.0,0.0,0.0
Richard Donahue,Hispanic,male,0.0,Mexico,31.0,94022,1,2.87,0.32,0.0,2.01,5.39,0.0,13.0,6.0,1.7599999999999998,2.33,-0.07,-0.2,6.84,Engineering,Very Good,Bad,0.0,0.0,0.0
Arthur Blakeman,Other,male,0.0,USA,27.0,94538,1,2.09,-0.0,1.0,1.94,6.35,0.0,21.0,4.5,1.42,0.27,-1.98,-2.43,3.81,Engineering,Ok,Bad,0.0,1.0,0.0
Lee Powell,Caucasian,male,1.0,USA,25.0,94566,4,3.01,0.28,3.5,2.32,8.620000000000001,0.0,35.0,4.0,2.0,0.34,-4.11,-3.16,3.48,Engineering,None,Good,0.0,0.0,0.0
Joseph Woods,Caucasian,male,2.0,Canada,36.0,94925,5,3.04,0.76,7.0,4.35,14.93,5.5,66.0,1.0,2.4,3.63,4.32,4.3,12.2,Humanities,Ok,Good,1.0,0.0,0.0
Fannie Parrish,Caucasian,female,0.0,USA,25.0,94022,2,4.0,0.54,1.5,3.65,10.18,0.0,13.0,2.5,-2.42,2.43,0.71,0.92,8.13,Engineering,Very Good,Good,1.0,0.0,0.0
Jonathan Johnson,Caucasian,male,0.0,USA,26.0,94509,1,1.76,0.12,2.0,0.86,2.6900000000000004,0.0,71.0,0.5,-0.5,3.12,3.03,3.34,11.12,Engineering,None,Bad,0.0,1.0,1.0
Megan Brock,Caucasian,female,0.0,USA,29.0,94611,2,2.8,0.28,2.0,2.24,6.05,0.0,52.0,5.5,2.95,0.56,-2.84,-1.86,4.94,Quantitative,Ok,Bad,0.0,0.0,0.0
Robert Cox,Asian,male,1.0,USA,23.0,94542,2,2.88,0.44,1.0,2.68,8.98,0.0,41.0,3.0,0.01,3.27,2.54,2.48,10.12,Quantitative,None,Bad,1.0,0.0,0.0
Keith Tape,Caucasian,male,0.0,USA,33.0,94085,5,2.82,0.5,3.5,2.51,10.49,0.0,8.0,6.0,2.66,2.28,-0.62,-0.4,6.85,Engineering,Ok,Good,0.0,0.0,0.0
Gary Thompson,Caucasian,male,1.0,USA,38.0,94089,3,3.21,0.12,7.0,2.57,8.3,0.0,11.0,7.0,3.22,2.73,1.32,1.25,8.65,Engineering,Ok,Bad,0.0,0.0,0.0
Thomas Lamb,Hispanic,male,1.0,Australia,23.0,94525,3,3.35,0.74,1.0,3.53,11.07,0.0,64.0,0.5,-2.72,0.88,-2.06,-1.17,5.68,Sciences,Very Good,Good,0.0,0.0,0.0
Walter Shanklin,Caucasian,male,0.0,Canada,21.0,94611,1,1.83,0.54,-3.0,1.38,4.91,0.0,52.0,1.0,-1.24,1.54,0.96,1.05,8.17,Engineering,Ok,Bad,0.0,0.0,0.0
John Handy,Caucasian,male,1.0,USA,30.0,95035,4,3.49,0.28,5.0,3.44,12.36,0.0,18.0,2.0,-2.3,2.9,0.78,0.48,7.66,Engineering,Very Good,Good,0.0,0.0,0.0
Louis Pulley,Caucasian,male,0.0,Australia,28.0,94022,2,3.43,0.54,1.0,3.55,11.36,0.0,13.0,1.5,-4.45,2.36,0.87,1.42,8.9,Sciences,Ok,Good,0.0,0.0,0.0
Arturo Johnson,Caucasian,male,1.0,USA,27.0,94595,3,3.22,0.5,3.5,3.26,10.34,0.0,56.0,5.0,3.75,1.76,-1.09,-1.39,5.34,Quantitative,Ok,Bad,0.0,0.0,0.0
Barbara Carter,African-American,female,1.0,USA,27.0,94544,5,2.29,0.38,5.5,2.11,6.52,0.0,31.0,0.0,-4.17,1.53,-0.23,-0.85,5.64,Engineering,Ok,Bad,1.0,0.0,0.0
Shirley Barreto,Hispanic,female,1.0,Mexico,36.0,94538,4,3.06,0.4,4.5,3.19,9.08,0.0,21.0,5.0,1.34,1.78,-0.62,-0.35,6.74,Quantitative,Ok,Bad,0.0,0.0,0.0
Megan Santana,Caucasian,female,2.0,USA,35.0,94403,5,3.07,0.08,10.5,3.7,12.15,0.0,26.0,3.0,-1.68,3.39,2.53,2.68,10.3,Quantitative,Ok,Good,1.0,0.0,0.0
Mark Kopp,Caucasian,male,2.0,USA,32.0,94545,4,3.0,0.52,4.0,3.23,11.82,0.0,37.0,4.5,0.76,1.94,0.19,-0.53,6.01,Quantitative,None,Good,0.0,0.0,0.0
Monique Thompson,Caucasian,female,0.0,USA,29.0,94707,4,2.72,0.54,5.5,3.23,9.780000000000001,2.5,61.0,0.5,-0.39,1.07,-1.56,-1.09,5.69,Sciences,Very Good,Bad,0.0,0.0,0.0
Stephen Shorter,Caucasian,male,2.0,USA,33.0,94587,5,2.81,0.26,6.0,3.91,14.54,1.0,30.0,5.0,-0.46,1.39,-0.43,0.13,7.2,Engineering,Very Good,Good,1.0,0.0,0.0
James Lamb,Caucasian,male,1.0,USA,42.0,94121,4,3.01,0.18,6.0,2.92,10.47,4.5,54.0,3.0,2.18,1.99,0.42,-0.16,6.49,Humanities,Ok,Good,0.0,0.0,0.0
Alice Ojeda,Asian,female,1.0,USA,30.0,94510,5,3.36,0.52,5.5,3.71,12.3,0.0,69.0,3.0,0.66,2.47,0.14,0.12,7.2,Humanities,None,Good,1.0,0.0,0.0
Daniel Vest,Caucasian,male,1.0,USA,23.0,94402,1,3.06,0.16,0.0,2.12,6.359999999999999,0.0,28.0,3.5,-2.17,3.54,2.72,1.33,8.22,Humanities,None,Bad,0.0,1.0,0.0
Antonina Montgomery,Caucasian,female,1.0,USA,28.0,94131,4,3.68,0.56,4.0,3.93,12.75,0.0,44.0,4.0,1.32,1.01,-2.34,-3.24,2.78,Engineering,Ok,Good,1.0,0.0,0.0
Lauren Hoganson,Caucasian,female,0.0,USA,34.0,94061,1,3.6,0.52,4.0,3.54,7.72,0.0,22.0,5.5,0.28,3.24,0.73,0.59,8.01,Quantitative,None,Good,0.0,0.0,0.0
Jeffery Hoover,Other,male,0.0,USA,26.0,94301,2,2.85,0.46,4.0,2.44,6.85,0.0,17.0,3.0,-0.05,2.75,-0.21,0.01,7.38,Engineering,Very Good,Bad,0.0,1.0,0.0
Ruth Horne,Other,female,2.0,USA,28.0,94603,5,2.79,0.62,5.0,3.65,11.71,0.0,40.0,2.0,-0.43,0.67,-2.27,-2.95,3.09,Engineering,Very Good,Good,0.0,0.0,0.0
Ryan Ferreira,Asian,male,0.0,China,33.0,94061,3,3.55,0.24,6.0,3.03,9.21,0.0,22.0,1.0,-1.91,0.37,-0.45,-0.99,5.13,Quantitative,Ok,Bad,0.0,0.0,0.0
Johnnie Martino,African-American,male,2.0,USA,27.0,94569,5,2.48,0.62,5.0,3.15,12.049999999999999,1.0,68.0,1.0,-2.12,0.05,-3.12,-2.24,4.43,Quantitative,None,Good,1.0,0.0,0.0
Mary Garcia,Caucasian,female,0.0,USA,29.0,94587,1,3.07,0.56,0.0,2.09,1.2500000000000002,1.5,30.0,3.0,-0.39,2.16,-0.24,-0.69,6.12,Quantitative,Very Good,Bad,0.0,0.0,1.0
Daniel Pearson,Caucasian,male,0.0,USA,28.0,94618,1,3.0,0.26,4.0,3.22,9.54,2.0,51.0,1.0,-0.55,1.59,-0.15,0.22,7.34,Engineering,Ok,Bad,0.0,0.0,0.0
Robert May,Hispanic,male,1.0,USA,40.0,94087,4,3.05,0.7,3.5,3.15,9.879999999999999,4.0,12.0,7.5,3.32,3.34,1.74,2.23,10.04,Engineering,Ok,Good,0.0,0.0,0.0
Tommy Mccarley,Asian,male,1.0,USA,36.0,94544,4,3.05,0.38,7.0,4.34,14.46,0.0,32.0,5.5,2.66,1.23,-1.47,-1.4,5.25,Engineering,Ok,Good,1.0,0.0,0.0
Sheena Amabile,Caucasian,female,2.0,USA,36.0,94030,4,3.33,0.46,7.0,3.82,11.71,4.0,34.0,4.0,1.86,0.0,-3.84,-3.46,2.74,Engineering,Very Good,Good,1.0,0.0,0.0
Diane Standen,Hispanic,female,1.0,USA,32.0,94043,2,2.74,0.48,4.0,2.38,4.87,0.0,5.0,4.5,0.75,1.6,-1.07,-1.49,5.04,Quantitative,Ok,Bad,0.0,0.0,0.0
William Forbush,African-American,male,2.0,USA,30.0,94025,4,3.14,0.44,6.0,3.42,10.62,0.0,20.0,2.0,-1.68,3.05,0.97,1.01,8.48,Quantitative,Ok,Good,0.0,0.0,0.0
Barbara Lujan,Asian,female,0.0,USA,21.0,94014,2,2.97,0.2,1.0,2.69,8.08,0.0,43.0,1.0,-1.38,3.54,3.88,4.54,12.63,Engineering,None,Good,0.0,0.0,0.0
Frances Tolles,Hispanic,female,1.0,USA,29.0,95002,2,2.6,0.52,2.5,2.85,7.54,2.0,14.0,3.5,-0.4,2.5,0.04,0.52,7.91,Engineering,Very Good,Good,0.0,0.0,0.0
David Anderson,Caucasian,male,0.0,USA,26.0,94010,1,2.02,0.3,1.5,2.06,6.12,0.0,33.0,4.0,-2.41,0.63,-3.17,-2.48,4.27,Sciences,Ok,Good,0.0,0.0,0.0
Wayne Ahern,Caucasian,male,0.0,Australia,29.0,94061,1,3.71,0.46,1.5,3.64,10.36,0.0,22.0,3.5,0.21,1.21,-3.58,-2.7,4.35,Engineering,Ok,Good,0.0,0.0,0.0
Robert Morrow,Caucasian,male,0.0,USA,23.0,94105,1,1.93,0.22,0.0,1.68,5.27,0.0,45.0,0.0,-1.59,4.44,2.83,2.83,10.87,Quantitative,None,Good,0.0,1.0,1.0
Daniel Wan,Hispanic,male,1.0,Mexico,21.0,94588,4,2.71,0.42,0.0,2.68,10.86,1.0,36.0,1.0,-2.5,3.13,1.66,1.92,9.56,Engineering,Ok,Bad,0.0,0.0,0.0
Sheila Scott,Caucasian,female,1.0,USA,31.0,94542,5,3.35,0.4,9.5,3.6,10.770000000000001,0.0,41.0,1.5,-0.38,1.04,-0.15,1.26,8.79,Quantitative,Ok,Good,0.0,0.0,0.0
Claude Pritchett,Caucasian,male,0.0,USA,29.0,94709,1,1.8,0.0,0.0,0.57,2.3899999999999997,0.0,59.0,0.0,-3.53,0.98,-2.29,-2.16,4.42,Quantitative,Ok,Good,0.0,1.0,1.0
Robert Hilton,Hispanic,male,0.0,USA,31.0,94085,3,3.08,0.42,6.0,3.42,9.969999999999999,0.0,8.0,4.0,0.20999999999999996,1.21,-2.43,-2.71,3.72,Engineering,Very Good,Good,1.0,0.0,0.0
Douglas Brown,Caucasian,male,2.0,Canada,32.0,94028,5,3.35,0.16,8.5,2.98,12.11,0.0,23.0,1.0,-0.99,1.15,-1.43,-1.21,5.56,Humanities,Very Good,Good,0.0,0.0,0.0
Debra Robinson,Asian,female,0.0,Canada,30.0,94720,4,2.42,-0.02,6.0,2.02,6.63,0.0,58.0,1.5,-1.4,1.93,0.9,-0.46,5.85,Quantitative,None,Bad,0.0,0.0,0.0
James May,Caucasian,male,0.0,USA,26.0,94591,2,2.29,0.56,2.0,2.32,7.49,0.0,73.0,2.0,0.94,3.54,2.86,2.85,10.55,Engineering,Ok,Bad,0.0,1.0,0.0
Daisy Moore,Asian,female,2.0,China,33.0,94040,5,3.17,0.58,4.5,3.88,13.450000000000001,0.0,3.0,4.0,0.38,0.87,-2.07,-1.56,5.32,Sciences,Ok,Good,1.0,0.0,0.0
Fred Cunningham,Asian,male,0.0,USA,31.0,94542,2,2.83,0.1,4.5,2.24,7.33,0.0,41.0,1.5,-1.13,2.3,1.35,0.45,7.18,Engineering,None,Good,0.0,1.0,0.0
Betty Mclaughlin,Asian,female,2.0,USA,30.0,94304,3,2.81,0.56,4.0,3.63,10.74,0.0,19.0,4.0,0.93,1.73,0.05,0.26,7.39,Quantitative,None,Good,0.0,0.0,0.0
Christopher Peter,African-American,male,0.0,USA,31.0,94903,2,3.96,0.4,5.0,3.2,8.25,0.0,70.0,0.0,-6.99,1.97,-0.49,0.37,7.77,Engineering,Ok,Good,0.0,0.0,0.0
Daniel Legrand,Caucasian,male,0.0,USA,30.0,94085,2,3.33,0.18,4.0,2.84,9.06,0.0,8.0,2.5,0.53,0.73,-1.99,-1.59,5.14,Quantitative,None,Good,0.0,0.0,0.0
Eliza Brookins,Caucasian,female,2.0,USA,34.0,94109,4,3.33,0.5,4.0,3.46,11.25,0.0,48.0,3.0,0.82,2.07,-0.05,0.68,8.12,Engineering,Very Good,Good,0.0,1.0,0.0
Jeannette Lewis,Caucasian,female,2.0,USA,29.0,94403,5,3.64,0.5,5.5,3.52,11.16,0.0,26.0,1.5,-1.54,1.88,-0.22,-0.02,7.06,Engineering,Ok,Good,1.0,0.0,0.0
Kenneth Chamberland,Caucasian,male,0.0,USA,28.0,94603,2,2.84,0.22,3.0,3.01,9.9,0.0,40.0,1.0,-1.99,2.07,0.25,0.56,7.81,Engineering,Ok,Good,0.0,0.0,0.0
