Gender,Race,Birth Origin,Age,Sports,Avg Deals Closed,Technical Aptitude,HireVue Score,Leadership Capability,Manager's Assessment Score,Educational Prestige,Education,Soft Skills,GPA,Years of Experience,Job Tenure,Military Tenure,Avg Commute Time,Cultural Fit,Undergraduate Degree,LinkedIn Score,Responsible Social Media Use,Employee Referral,Arrest Record,Criminal Record,Names
female,Other,USA,32.0,None,4.41,-2.33,-2.96,0.89,-2.758773054096056,2.4,-0.34,2.37,2.97,2.4,1.5212616213651946,2.7,15.0,1.14,Engineering,None,Good,0.0,1.0,0.0,Mavis Maxcy
female,Other,USA,29.0,NCAA,11.76,3.73,3.09,3.68,2.3857878885235024,2.6,0.27,3.34,2.38,2.5,0.3972560305212078,2.1,41.0,0.54,Engineering,Very Good,Good,1.0,0.0,0.0,Latoya Worthey
female,Other,USA,31.0,None,5.8,-0.7,0.22,1.44,-0.2361086259748519,1.3,0.42,2.62,2.75,5.0,-1.482608169594173,1.0,36.0,-0.9,Engineering,Very Good,Bad,0.0,0.0,0.0,Janice Fan
female,Other,USA,21.0,None,9.18,2.16,3.16,3.23,-0.832041291861794,3.1,-0.39,3.2,3.43,3.3,-2.432786262968293,0.7,43.0,-1.73,Engineering,Ok,Good,0.0,0.0,0.0,Rosalind Fries
female,Other,Australia,26.0,None,7.94,0.63,0.65,2.36,-2.979554217490112,1.6,-0.06,2.11,2.19,4.4,1.6288821211011433,2.9,11.0,1.03,Quantitative,None,Bad,0.0,1.0,1.0,Tracy Powell
female,Other,USA,32.0,None,10.51,2.65,2.3,3.33,3.5896879882637545,1.0,1.54,3.13,2.38,6.7,2.2430027009227493,3.3,19.0,1.49,Quantitative,Ok,Good,1.0,0.0,0.0,Viola Hansing
female,Other,USA,29.0,NCAA,8.3,1.0,0.58,2.11,0.9422613600834928,2.4,-0.58,3.86,4.25,3.9,0.501032488535426,2.3,30.0,0.45,Engineering,Ok,Bad,0.0,0.0,0.0,Hope Fontillas
female,Other,USA,39.0,None,7.66,0.28,-0.62,2.04,-0.5039348613295453,1.1,0.18,2.54,3.07,3.1,5.040687021235831,4.3,43.0,3.28,Quantitative,Ok,Good,0.0,0.0,0.0,Suzanne Hays
female,Other,USA,30.0,None,5.98,-1.04,-0.89,2.42,-2.3138154835556284,1.2,-0.93,2.48,2.59,1.7,-0.13860140746919253,2.0,56.0,0.14,Sciences,None,Bad,0.0,1.0,0.0,Eileen Armstrong
female,Other,USA,33.0,Club/Intramural,8.32,0.95,0.85,2.88,0.8670755314600879,1.7,-0.16,3.41,3.55,4.1,1.5761819025913801,3.0,41.0,1.02,Humanities,Ok,Bad,0.0,0.0,0.0,Ruthe Quinones
female,Other,USA,29.0,NCAA,6.3,-0.48,-0.52,1.47,5.374830176702257,2.7,0.99,4.16,3.78,4.8,-0.6202762281675089,1.7,41.0,-0.34,Quantitative,Very Good,Bad,1.0,0.0,0.0,Rosemarie Durkin
female,Other,Australia,22.0,None,9.51,1.88,1.65,3.3,-1.6635280327722979,2.5,0.02,2.49,3.21,1.9,-4.17584817902428,0.1,74.0,-2.95,Humanities,None,Bad,0.0,0.0,0.0,Joan Matthew
female,Other,USA,41.0,None,5.9,-0.87,-0.36,2.19,-0.5022751849021482,1.2,0.34,2.7,2.62,6.1,4.88950291559148,4.5,12.0,3.19,Quantitative,Ok,Bad,1.0,1.0,0.0,Jessica Hill
female,Other,USA,28.0,None,8.17,0.6,-0.09,2.56,-1.7164543098628882,2.0,-0.33,2.29,2.83,0.0,0.448292330140808,2.2,48.0,0.51,Engineering,None,Good,0.0,0.0,0.0,Pamela Culley
female,Other,USA,24.0,None,4.29,-2.0,-1.9,0.57,-2.760981079472502,1.1,-0.47,2.3,3.37,3.0,-1.803877134369871,1.0,52.0,-0.99,Engineering,None,Good,0.0,1.0,0.0,Norma Goldstein
female,Other,USA,32.0,NCAA,7.12,0.12,0.1,1.6,2.2504929979150217,1.5,1.28,3.02,2.8,7.1,0.8341435864772158,2.3,15.0,0.59,Engineering,Very Good,Good,1.0,0.0,0.0,Anne Money
female,Other,USA,27.0,NCAA,4.0,-2.22,-1.87,0.89,1.629056737987105,1.5,0.0,3.41,3.37,3.7,-1.2003327972029942,1.2,4.0,-1.11,None,Very Good,Bad,0.0,0.0,0.0,Angela Evans
female,Other,USA,32.0,None,7.2,0.13,0.52,2.55,0.40334344202720157,2.3,0.46,2.87,2.71,3.9,-0.028536128451949458,1.9,45.0,0.18,Engineering,Very Good,Good,0.0,0.0,0.0,Eleanor Paulsen
female,Other,USA,25.0,None,9.17,1.68,1.35,2.78,-3.284344796749483,1.0,-0.28,1.8,2.75,1.5,0.18927733986851442,2.0,19.0,0.1,Quantitative,Very Good,Good,0.0,1.0,0.0,Vida Moore
female,Other,USA,31.0,NCAA,6.25,-0.56,-0.79,1.21,1.987754069755647,1.3,1.09,3.0,2.72,6.6,1.5240194029981364,2.7,10.0,1.03,Quantitative,Ok,Good,0.0,0.0,0.0,Pauline Flores
female,Other,USA,35.0,NCAA,6.41,-0.17,0.36,1.4,1.9170457280367517,1.8,1.47,2.7,2.31,5.4,2.037055561536203,3.1,4.0,1.28,Engineering,Ok,Good,0.0,1.0,0.0,Kathryn Kowalchuk
female,Other,USA,19.0,None,6.43,-0.78,-1.6,1.77,-2.290721887633602,1.7,-0.83,2.46,2.62,1.4,-3.243769643116396,0.2,51.0,-2.18,Engineering,None,Bad,0.0,1.0,0.0,Helen Wells
female,Other,USA,25.0,NCAA,8.0,0.71,1.43,3.68,1.673725761025519,1.4,-0.48,4.04,3.34,8.0,-6.651552037584731,0.0,66.0,-4.59,Sciences,Ok,Good,0.0,0.0,0.0,Lindsey Simpson
female,Other,USA,29.0,None,10.25,2.32,2.3,3.98,-2.025695706770447,3.3,-0.15,2.45,2.69,1.1,2.392784682573133,3.3,30.0,1.2,Quantitative,Ok,Good,0.0,0.0,0.0,Gloria Thomas
female,Other,USA,25.0,None,6.32,-0.69,-0.25,2.84,-8.714226226732583,0.6,-1.62,0.9,2.32,0.4,-1.772291141702463,1.3,35.0,-1.45,Quantitative,None,Bad,0.0,1.0,1.0,Martha Yahna
female,Other,USA,26.0,None,6.85,-0.38,-1.07,1.51,-0.8064754008570356,2.3,0.2,2.37,2.76,1.2,-3.6930198055985595,0.0,12.0,-2.92,Engineering,None,Good,0.0,0.0,1.0,Rhonda Almaraz
female,Other,USA,28.0,None,3.74,-2.51,-1.48,1.31,-1.0947882516528766,2.9,-0.58,3.09,3.91,1.8,2.307068291269222,3.1,12.0,1.58,Humanities,Ok,Bad,0.0,1.0,0.0,Elizabeth Mcgee
female,Other,USA,30.0,None,9.12,2.08,2.7,2.8,-0.9439904216535364,1.4,-0.15,2.95,3.15,5.9,3.1724733483819,3.6,17.0,2.22,Quantitative,Ok,Bad,1.0,0.0,0.0,Betty Duong
female,Other,USA,26.0,None,3.37,-2.95,-2.91,0.31,-0.5548048275832633,1.5,0.61,2.2,2.36,2.7,-2.3063524555314565,0.9,72.0,-1.5,Humanities,None,Bad,0.0,0.0,0.0,Eva Rose
female,Other,USA,29.0,NCAA,7.48,0.32,0.25,2.08,2.0143995281840765,3.0,0.3,3.71,3.23,5.2,1.7001653912900463,2.6,8.0,1.37,Quantitative,Ok,Good,1.0,0.0,0.0,Debra Kelly
female,Other,USA,27.0,None,5.85,-0.93,-0.96,1.15,-1.239020863455738,1.8,0.58,2.33,2.93,5.0,-0.8409237125027003,1.2,4.0,-0.68,Engineering,Ok,Good,0.0,0.0,0.0,Nancy Bryant
female,Other,USA,35.0,None,9.22,1.71,1.2,2.28,-5.027880908635792,1.7,-0.54,1.83,2.8,3.4,3.426019484921843,4.0,40.0,2.25,Humanities,Ok,Good,1.0,1.0,1.0,Teresa Bright
female,Other,USA,25.0,None,6.11,-0.71,-0.77,1.53,-1.850203826700472,1.0,-0.82,2.72,3.1,2.3,0.3552667350629578,2.0,10.0,0.2,Quantitative,None,Bad,0.0,0.0,0.0,Ashley Anguiano
female,Other,USA,38.0,NCAA,9.18,1.96,2.18,2.76,4.787745565373274,1.4,0.73,4.15,3.33,8.2,2.038692570700961,3.2,9.0,1.32,Quantitative,Very Good,Good,1.0,0.0,0.0,Stephanie Johnson
female,Other,USA,34.0,None,7.49,0.87,2.37,2.73,0.6114827393523716,1.0,0.73,2.71,3.19,5.0,3.5127810272976756,4.2,55.0,2.69,Engineering,Very Good,Good,0.0,0.0,0.0,Shila Goldizen
female,Other,USA,31.0,None,5.69,-1.57,-2.94,1.42,-2.278932848342953,2.0,0.44,1.95,2.26,3.1,4.440751200710047,4.3,15.0,2.75,Engineering,None,Bad,1.0,1.0,0.0,Frances Soltys
female,Other,USA,26.0,None,7.29,0.02,-1.09,1.25,-3.801454020596248,-0.2,-0.07,1.42,1.66,4.0,-2.3138860100321783,1.0,58.0,-1.58,Quantitative,Ok,Bad,0.0,1.0,1.0,Agnes Sether
female,Other,USA,27.0,NCAA,6.54,-0.22,0.64,2.42,2.6522559742885923,3.0,0.89,3.51,2.78,5.9,-0.07015368262654904,2.0,26.0,-0.11,Quantitative,Ok,Bad,1.0,0.0,0.0,Maria Allen
female,Other,USA,26.0,NCAA,8.25,0.69,-0.8,1.35,5.226861998071883,3.4,-0.27,4.98,4.15,4.0,-1.3552333849863256,1.3,39.0,-0.86,Engineering,Ok,Good,1.0,0.0,0.0,Irma Butler
female,Other,Australia,24.0,None,6.74,0.29,1.14,1.43,-0.4719906515059575,3.0,0.12,2.71,2.62,1.4,1.2486861399030957,2.6,51.0,1.2,Quantitative,None,Bad,0.0,0.0,0.0,Amanda Sotelo
female,Other,USA,24.0,None,5.84,-0.77,-0.78,0.81,-2.7834709180128283,1.2,-0.57,2.1,2.99,0.4,-5.058559405819642,0.0,40.0,-3.6,Quantitative,Ok,Bad,0.0,1.0,0.0,Marilyn Cobb
female,Other,USA,32.0,None,2.67,-3.52,-3.76,0.3,-0.10725086215723055,1.7,0.17,3.29,2.73,8.9,-0.5416203841950599,1.3,11.0,-0.5,Quantitative,Ok,Bad,0.0,0.0,0.0,Beverly Denoon
female,Other,USA,30.0,None,10.72,2.9,2.52,3.16,-0.6765547758866942,2.5,-0.28,2.95,3.07,2.1,3.1666684515204815,3.5,23.0,1.97,Sciences,Ok,Bad,0.0,0.0,0.0,Miriam Nolin
female,Other,USA,28.0,NCAA,10.21,2.61,1.98,2.42,2.135796174067908,1.1,0.9,3.12,2.79,6.4,0.27890293735783156,1.9,49.0,-0.3,Humanities,Ok,Good,0.0,0.0,0.0,Claire Martin
female,Other,Canada,22.0,NCAA,7.41,0.41,0.92,2.68,2.5771471650919446,1.3,-0.69,3.85,3.31,2.2,-2.7992550190206047,0.5,18.0,-2.17,Sciences,Ok,Good,1.0,0.0,0.0,Marsha Hazelhurst
female,Other,USA,31.0,None,4.64,-1.93,-1.15,2.27,-4.504757603305076,2.0,-0.52,2.01,2.08,4.0,0.6267382330142304,2.4,25.0,0.31,Quantitative,Ok,Good,0.0,1.0,1.0,Cortney Jolin
female,Other,USA,33.0,NCAA,8.51,1.51,1.83,2.16,2.808399848820827,1.8,0.34,3.51,3.45,3.5,-1.692086526146094,1.2,52.0,-1.05,Quantitative,Ok,Good,1.0,0.0,0.0,Esther Henslee
female,Other,USA,29.0,Club/Intramural,3.65,-2.93,-3.25,1.1,2.804176185399435,2.5,0.11,3.81,3.23,4.1,1.8614199218963317,2.9,24.0,1.44,Quantitative,Ok,Good,1.0,0.0,0.0,Donna Carrillo
female,Other,Australia,37.0,None,6.56,-0.4,-0.59,1.54,-1.0417161439770941,2.5,0.74,2.45,2.68,5.6,2.4772109675958505,3.3,1.0,1.48,Quantitative,Ok,Good,0.0,0.0,0.0,Lucille Hendricks
female,Other,USA,32.0,NCAA,7.79,0.37,-0.1,2.45,3.2296657268050417,2.8,0.7,4.04,3.32,8.0,-2.7742177531647587,0.8,64.0,-1.94,Engineering,Very Good,Good,0.0,0.0,0.0,Dana Bundick
female,Other,USA,19.0,None,7.59,0.75,1.71,2.86,-9.315363702545667,2.0,-1.87,0.87,2.6,-3.1,-2.479826793379977,0.6,12.0,-1.86,Engineering,Ok,Good,0.0,1.0,1.0,Angeline Townsend
female,Other,USA,32.0,None,7.25,0.52,1.34,2.05,-1.8076341693829,2.2,0.5,2.09,2.12,3.9,-1.2127605127006489,1.7,23.0,-1.12,Engineering,Ok,Good,0.0,0.0,0.0,Rochelle Bogdon
female,Other,USA,32.0,None,4.63,-1.83,-0.85,2.28,-0.609522929230046,1.3,-0.07,3.05,2.61,7.5,-0.9834257650570005,1.5,56.0,-0.33,Quantitative,None,Good,0.0,0.0,0.0,Barbara Hedden
female,Other,USA,29.0,Club/Intramural,14.22,5.68,5.23,4.7,-0.7880944615437345,2.7,-0.52,2.99,2.92,2.0,3.892996873382461,4.1,49.0,2.98,Engineering,None,Good,0.0,0.0,0.0,Michelle Wood
female,Other,USA,37.0,NCAA,6.39,-0.24,0.27,1.63,5.406582035098348,1.2,0.63,4.46,4.29,7.0,1.1732537861751386,2.7,55.0,0.94,Sciences,Ok,Good,0.0,0.0,0.0,Joanna Bowers
female,Other,USA,25.0,None,4.89,-1.49,-0.54,2.14,-4.1649308912663345,2.0,-1.07,1.91,1.97,-1.0,2.301129995834639,3.0,12.0,1.61,Quantitative,Very Good,Good,0.0,1.0,1.0,Heather Roeder
female,Other,USA,25.0,Club/Intramural,9.5,1.81,1.41,3.06,-3.547266343364325,-0.1,0.32,0.96,1.73,0.7,-0.0014197342162014291,2.2,7.0,-0.26,Quantitative,Ok,Bad,0.0,1.0,0.0,Laura Mitkowski
female,Other,USA,26.0,None,5.01,-1.55,-1.62,0.99,-0.8979378672903091,3.2,-0.07,3.03,2.63,4.9,0.4414431819257747,2.1,12.0,0.22,Engineering,Ok,Bad,0.0,0.0,0.0,Nakisha Bolton
female,Other,USA,28.0,Club/Intramural,7.18,0.46,1.39,2.53,1.711148171180536,2.6,0.81,3.16,2.9,4.9,1.235293744169151,2.8,19.0,0.67,Sciences,Very Good,Good,0.0,0.0,0.0,Irene Tate
female,Other,USA,22.0,Club/Intramural,10.67,2.84,2.31,2.99,-6.7121141558276545,0.6,-1.28,1.24,2.52,0.7,-2.422929899905513,0.6,39.0,-1.59,Engineering,Ok,Bad,0.0,1.0,1.0,Mary Davis
female,Other,USA,28.0,Club/Intramural,5.6,-0.53,1.12,2.29,-5.7721646938635,1.9,-0.73,1.52,2.02,2.4,-1.1920961458908912,1.6,59.0,-0.64,Engineering,Ok,Bad,0.0,1.0,1.0,Charlotte Gourd
female,Other,USA,27.0,Club/Intramural,10.62,3.06,3.05,3.28,-3.619168673962866,1.2,-0.88,2.28,2.27,3.3,-1.124002456994637,1.3,0.0,-1.05,Quantitative,Ok,Good,0.0,1.0,0.0,Jill Young
female,Other,USA,31.0,Club/Intramural,6.36,-0.75,-1.22,1.87,-2.737712128735053,2.0,-0.34,2.39,2.13,4.9,0.03059645840542793,1.9,36.0,0.0,Engineering,Ok,Good,1.0,1.0,0.0,Kathryn Cortez
female,Other,USA,34.0,Club/Intramural,5.65,-1.16,-1.31,1.44,0.4503255176007722,3.0,-0.22,3.51,3.66,4.1,2.4408127905102694,3.4,23.0,1.71,Engineering,None,Good,0.0,0.0,0.0,Gwen Dixon
female,Other,USA,27.0,Club/Intramural,9.38,2.45,3.36,2.71,0.2211296439818988,1.8,0.05,3.36,3.23,7.4,-3.554781710631408,0.0,24.0,-2.47,Quantitative,Ok,Good,0.0,0.0,0.0,Willette Tolbert
female,Other,USA,39.0,Club/Intramural,6.37,-0.77,-1.63,1.49,-3.0306184211520257,1.4,-1.0,2.37,2.81,1.2,5.153497441633849,4.5,16.0,3.61,Engineering,Very Good,Bad,0.0,1.0,0.0,Joanne Harms
female,Other,USA,29.0,Club/Intramural,8.19,1.06,0.77,1.77,-0.11653764242448432,2.4,-0.43,3.45,3.13,5.1,0.17987403408676708,2.0,32.0,0.1,Engineering,None,Good,1.0,0.0,0.0,Winifred Stogsdill
female,Other,USA,31.0,Club/Intramural,9.93,2.24,2.27,3.46,-4.318164552575819,1.5,-0.8,1.96,2.33,2.5,-1.0400358004312706,1.6,36.0,-0.83,Engineering,Ok,Good,0.0,1.0,1.0,Joanne Leftwich
female,Other,USA,28.0,Club/Intramural,9.64,2.22,2.87,3.69,-0.8496591246439583,1.8,-0.64,2.93,3.45,1.6,1.3560867668617183,2.8,51.0,1.27,Engineering,Ok,Good,0.0,0.0,0.0,Kelly Judkins
female,Other,USA,26.0,Club/Intramural,5.22,-1.21,-0.36,1.66,-1.242631266340238,1.7,-0.02,2.5,2.46,3.7,-0.31782602697951345,1.8,37.0,-0.3,Quantitative,Very Good,Bad,0.0,1.0,0.0,Carrie Garcia
female,Other,USA,28.0,Club/Intramural,9.68,2.16,1.71,2.47,-1.640306118392138,2.0,-0.36,2.76,2.9,3.9,0.961991365483368,2.7,54.0,0.8,Engineering,Ok,Good,0.0,1.0,0.0,Linda Burnett
female,Other,USA,33.0,Club/Intramural,10.67,2.91,3.44,4.17,2.8702040121066426,2.2,0.05,4.0,3.74,5.3,1.9180356729081434,2.9,39.0,1.46,Quantitative,Very Good,Good,1.0,0.0,0.0,Carolyn Jones
female,Other,USA,30.0,NCAA,10.43,2.76,2.77,3.32,-3.8474435630950308,2.3,0.1,1.56,2.05,1.8,-1.3265264066717775,1.2,5.0,-1.24,Quantitative,Ok,Good,0.0,1.0,1.0,Stacey Beall
female,Other,USA,27.0,Club/Intramural,9.02,1.51,1.32,2.8,4.7843927042017045,1.8,1.22,4.03,3.71,7.8,-1.0661209086644265,1.6,37.0,-0.71,Engineering,Very Good,Good,1.0,0.0,0.0,Linda Malone
female,Other,USA,25.0,NCAA,6.39,-0.56,-1.23,0.96,1.471775685925836,2.2,-0.01,3.5,3.17,4.5,-4.31917783264232,0.0,29.0,-3.13,Engineering,Ok,Bad,0.0,0.0,0.0,Dorothy Soule
female,Other,USA,26.0,Club/Intramural,6.3,-0.37,-0.31,1.2,0.5981870141392011,1.4,0.21,2.83,3.26,2.1,-0.36543532762361924,2.0,53.0,-0.05,Engineering,Very Good,Good,0.0,1.0,0.0,Laura Wright
female,Other,USA,26.0,Club/Intramural,8.67,1.41,1.63,2.7,-0.44661885946811647,1.5,-0.17,2.96,3.33,4.3,-0.9102951235759023,1.7,72.0,-0.46,Quantitative,Ok,Bad,0.0,0.0,0.0,Elizabeth Aguila
female,Other,USA,25.0,Club/Intramural,7.5,0.34,-0.05,1.92,0.8570237666653425,2.6,-0.03,3.17,3.31,2.2,0.3885675854938485,2.2,63.0,0.57,Humanities,Ok,Bad,0.0,0.0,0.0,Olivia Hallenbeck
female,Other,USA,30.0,Club/Intramural,8.34,0.92,0.36,2.15,-1.4281673972794875,2.7,0.26,2.59,2.56,4.8,0.18014705392095923,2.1,30.0,0.06,Humanities,Ok,Good,0.0,0.0,0.0,Lou Siddoway
female,Other,USA,29.0,None,10.3,2.94,2.73,2.21,-0.3305677397269033,1.7,-0.05,3.28,3.61,7.2,0.2875960060533176,2.4,26.0,0.12,Quantitative,Ok,Bad,0.0,0.0,0.0,Stephanie Staples
female,Other,USA,27.0,Club/Intramural,6.7,-0.39,-0.64,2.08,-1.8667017641174777,1.4,0.38,2.35,2.83,5.9,-0.35286029916160067,2.0,7.0,-0.4,Quantitative,Very Good,Bad,0.0,0.0,0.0,Marion Cespedes
female,Other,USA,31.0,Club/Intramural,4.0,-2.5,-2.92,0.22,7.183706522791997,2.1,1.09,4.63,3.58,6.8,-1.6356126951282903,1.2,0.0,-1.24,Engineering,Ok,Good,1.0,0.0,0.0,Diane Sisco
female,Other,Canada,27.0,Club/Intramural,6.89,-0.12,-0.06,2.01,-0.27076115413684154,2.8,-0.07,2.84,2.28,2.2,1.0491331315889312,2.4,15.0,0.69,Quantitative,Ok,Good,0.0,0.0,0.0,Rosetta Harris
female,Other,USA,30.0,Club/Intramural,11.83,3.97,3.78,3.35,1.8233499700857592,1.4,1.24,2.84,2.68,6.4,1.8351494069133236,2.9,25.0,1.32,Engineering,Ok,Good,0.0,1.0,0.0,Denise Jodway
female,Other,USA,22.0,Club/Intramural,5.24,-1.29,-1.09,1.0,1.4626713400436075,2.4,0.25,2.81,2.62,-0.3,-0.6811862841461611,1.8,64.0,-0.45,Quantitative,Very Good,Good,0.0,0.0,0.0,Megan Griffin
female,Other,USA,27.0,Club/Intramural,5.82,-0.43,1.42,2.78,2.545547480082376,2.9,0.64,3.52,2.74,4.7,-0.7677286067347652,1.9,51.0,-0.48,Engineering,Ok,Good,1.0,0.0,0.0,Stephanie Rourke
female,Other,USA,30.0,Club/Intramural,6.62,-0.6,-1.05,2.22,2.371668549565161,2.4,0.17,3.67,2.93,4.8,-0.8019347497916254,1.6,16.0,-0.71,Quantitative,Ok,Good,0.0,0.0,0.0,Doris Frazier
female,Other,USA,31.0,Club/Intramural,6.78,-0.1,-0.17,1.83,-0.4258871523392995,1.6,-0.11,2.74,2.92,2.3,1.7851177100408713,3.0,63.0,1.55,Engineering,Ok,Bad,0.0,0.0,0.0,Katie Davis
female,Other,USA,20.0,Club/Intramural,7.28,0.31,0.78,2.47,-2.0472476315803094,1.3,-0.46,2.38,2.8,1.8,-1.901434531225959,0.9,48.0,-1.32,Engineering,None,Bad,0.0,0.0,0.0,Michelle Cherry
female,Other,USA,32.0,Club/Intramural,7.67,0.59,0.94,2.46,-1.7983832120158816,2.6,-1.06,3.12,3.3,2.4,2.0934200922810695,3.0,18.0,1.38,Quantitative,None,Good,0.0,1.0,0.0,Paulette Bell
female,Other,USA,41.0,Club/Intramural,7.12,0.19,1.11,2.86,0.6864868630950756,3.4,-0.09,3.75,3.03,6.8,3.340053115657114,3.5,42.0,2.08,Sciences,None,Good,0.0,0.0,0.0,Margie Ali
female,Other,USA,30.0,Club/Intramural,8.0,1.05,2.26,3.59,-0.8654350217266839,0.4,0.46,2.55,2.62,7.6,0.11934737808264427,2.1,7.0,-0.04,Quantitative,Very Good,Bad,0.0,0.0,0.0,Angela Johnson
female,Other,USA,30.0,Club/Intramural,6.89,-0.4,-1.26,1.8,2.451728979706223,1.7,0.73,3.08,2.85,2.7,0.6526324035328799,2.5,28.0,0.42,Engineering,Ok,Good,1.0,0.0,0.0,Edelmira Reynolds
female,Other,USA,33.0,Club/Intramural,11.29,3.55,3.4,3.18,-1.3279413652142296,1.6,0.47,2.15,2.39,3.2,-0.691374312851877,2.0,55.0,-0.54,Engineering,None,Bad,0.0,0.0,0.0,Sandra Childers
female,Other,Australia,23.0,Club/Intramural,7.56,0.16,-1.07,1.34,-2.179031448419881,0.6,0.07,1.8,2.62,1.4,-2.1787238263775306,0.8,17.0,-1.51,Sciences,None,Good,1.0,0.0,0.0,Nancy Thompson
female,Other,USA,32.0,Club/Intramural,9.66,2.47,3.34,3.17,0.3153767661825682,0.5,-0.79,3.78,2.72,9.1,-1.6956109694820614,0.9,6.0,-1.29,Engineering,Ok,Good,0.0,0.0,0.0,Cheryl Olivo
female,Other,USA,30.0,Club/Intramural,9.32,1.68,1.2,2.56,3.044512788070005,1.8,0.98,3.6,3.73,6.8,2.7735369751219725,3.4,26.0,1.65,Engineering,Ok,Good,1.0,0.0,0.0,Ella Minton
female,Other,USA,27.0,Club/Intramural,8.61,1.48,1.82,2.44,0.11729856097184423,1.5,0.84,2.58,2.59,5.9,-2.608640051031489,0.6,45.0,-1.69,Sciences,Ok,Good,0.0,0.0,0.0,Mildred Gressler
female,Other,USA,26.0,Club/Intramural,6.5,-0.37,0.38,2.76,-0.9840881663133227,3.0,0.24,2.5,2.58,2.4,1.333357072707951,2.6,11.0,0.92,Humanities,None,Bad,0.0,0.0,0.0,Carolyn Hawkins
female,Other,USA,23.0,Club/Intramural,6.01,-0.56,0.42,2.18,-1.6834182806185458,1.0,-0.23,2.31,3.3,1.0,1.2751854626093384,2.7,2.0,0.53,Engineering,None,Good,0.0,0.0,0.0,Sandra Rosales
female,Other,USA,37.0,Club/Intramural,3.36,-3.15,-4.03,0.0,1.0500165337784844,1.9,0.55,3.03,3.01,4.2,2.036349221860559,3.0,49.0,1.5,Engineering,Very Good,Good,0.0,0.0,0.0,Brenda Coulson
female,Other,USA,28.0,Club/Intramural,2.52,-3.78,-3.85,0.69,-2.016834358900439,1.0,-0.31,2.77,2.97,7.0,-3.887602079369385,0.3,113.0,-2.44,Engineering,Ok,Bad,0.0,0.0,0.0,Ashley Harrison
female,Other,USA,31.0,NCAA,2.92,-3.51,-4.05,0.0,-1.6612445464414676,1.5,0.04,2.63,2.68,6.0,-0.6710450709197493,1.6,58.0,-0.24,Humanities,None,Good,0.0,0.0,0.0,Stephanie Souther
female,Other,USA,37.0,Club/Intramural,5.96,-0.82,-0.32,2.3,6.813627518807824,2.2,1.51,4.8,2.93,12.4,-3.3680368128054075,0.2,21.0,-2.48,Humanities,Very Good,Good,1.0,0.0,0.0,Cindy Rung
